ts_ms,price,recv_ms
1783188513000,63201.07125483498,1783188514091
1783188514000,63206.799869675066,1783188515192
1783188515000,63206.21791580106,1783188516261
1783188516000,63205.17417322172,1783188517069
1783188517000,63205.07658962752,1783188518063
1783188518000,63206.08853595235,1783188519040
1783188519000,63207.48340538256,1783188520126
1783188520000,63208.237859128116,1783188521142
1783188521000,63207.93635664299,1783188522199
1783188522000,63206.42057103184,1783188523359
1783188523000,63202.97470969159,1783188524355
1783188524000,63195.79811695567,1783188525719
1783188525000,63195.79811695567,1783188526151
1783188526000,63195.69727920279,1783188527179
1783188527000,63195.37744987878,1783188528087
1783188528000,63193.877004814276,1783188529152
1783188529000,63192.23825231722,1783188530109
1783188530000,63193.12553831882,1783188531174
1783188531000,63193.222095732504,1783188532283
1783188532000,63192.83037673328,1783188533191
1783188533000,63192.76385596147,1783188534135
1783188534000,63192.68774660264,1783188535114
1783188535000,63192.72984007031,1783188536073
1783188536000,63192.698857224044,1783188537125
1783188537000,63192.32300719959,1783188538540
1783188538000,63191.174400458025,1783188539036
1783188539000,63189.00090909888,1783188540047
1783188540000,63189.19249780577,1783188541391
1783188541000,63189.17244921174,1783188542370
1783188542000,63190.71359351615,1783188543368
1783188543000,63190.356991143526,1783188544198
1783188544000,63190.53061864612,1783188545191
1783188545000,63190.539083369,1783188546010
1783188546000,63190.547451322935,1783188547088
1783188547000,63190.52469323623,1783188547928
1783188548000,63189.8246458182,1783188549401
1783188549000,63185.798198601566,1783188550694
1783188550000,63184.3002352102,1783188551200
1783188551000,63182.34570004222,1783188552130
1783188552000,63179.89040563836,1783188553081
1783188553000,63177.03070021973,1783188554235
1783188554000,63169.2483251859,1783188555121
1783188555000,63168.11659750311,1783188556066
1783188556000,63166.8934270681,1783188556961
1783188557000,63165.57725695655,1783188557964
1783188558000,63165.47788798533,1783188558994
1783188559000,63163.81724994757,1783188559865
1783188560000,63164.42653861792,1783188560916
1783188561000,63164.47463351869,1783188561824
1783188562000,63165.61690010348,1783188563116
1783188563000,63165.98695237004,1783188564203
1783188564000,63165.81990189049,1783188565329
1783188565000,63165.3325040436,1783188566273
1783188566000,63165.62079957619,1783188567510
1783188567000,63163.82066076278,1783188568627
1783188568000,63163.82066076278,1783188569247
1783188569000,63163.71967790306,1783188570191
1783188570000,63163.79135362419,1783188571330
1783188571000,63163.87161733516,1783188572322
1783188572000,63162.58493634971,1783188573413
